entityId,time_utc,availableBikeNumber
28264,2025-12-15 01:00:00+00:00,
28264,2025-12-15 02:00:00+00:00,
28264,2025-12-15 03:00:00+00:00,
28264,2025-12-15 04:00:00+00:00,
28264,2025-12-15 05:00:00+00:00,
28264,2025-12-15 06:00:00+00:00,
28264,2025-12-15 07:00:00+00:00,8.0
28738,2025-12-14 08:00:00+00:00,
28738,2025-12-14 09:00:00+00:00,
28738,2025-12-14 10:00:00+00:00,
28738,2025-12-14 11:00:00+00:00,
28738,2025-12-14 12:00:00+00:00,
28738,2025-12-14 13:00:00+00:00,
28738,2025-12-14 14:00:00+00:00,
28738,2025-12-14 15:00:00+00:00,
28738,2025-12-14 16:00:00+00:00,
28738,2025-12-14 17:00:00+00:00,
28738,2025-12-14 18:00:00+00:00,
28738,2025-12-14 19:00:00+00:00,
28738,2025-12-14 20:00:00+00:00,
28738,2025-12-14 21:00:00+00:00,
28738,2025-12-14 22:00:00+00:00,
28738,2025-12-14 23:00:00+00:00,
28738,2025-12-15 00:00:00+00:00,
28738,2025-12-15 01:00:00+00:00,
28738,2025-12-15 02:00:00+00:00,
28738,2025-12-15 03:00:00+00:00,
28738,2025-12-15 04:00:00+00:00,
28738,2025-12-15 05:00:00+00:00,
28738,2025-12-15 06:00:00+00:00,
28738,2025-12-15 07:00:00+00:00,12.0
28789,2025-12-14 08:00:00+00:00,
28789,2025-12-14 09:00:00+00:00,
28789,2025-12-14 10:00:00+00:00,
28789,2025-12-14 11:00:00+00:00,
28789,2025-12-14 12:00:00+00:00,
28789,2025-12-14 13:00:00+00:00,
28789,2025-12-14 14:00:00+00:00,
28789,2025-12-14 15:00:00+00:00,
28789,2025-12-14 16:00:00+00:00,
28789,2025-12-14 17:00:00+00:00,
28789,2025-12-14 18:00:00+00:00,
28789,2025-12-14 19:00:00+00:00,
28789,2025-12-14 20:00:00+00:00,
28789,2025-12-14 21:00:00+00:00,
28789,2025-12-14 22:00:00+00:00,
28789,2025-12-14 23:00:00+00:00,
28789,2025-12-15 00:00:00+00:00,
28789,2025-12-15 01:00:00+00:00,
28789,2025-12-15 02:00:00+00:00,
28789,2025-12-15 03:00:00+00:00,
28789,2025-12-15 04:00:00+00:00,
28789,2025-12-15 05:00:00+00:00,
28789,2025-12-15 06:00:00+00:00,
28789,2025-12-15 07:00:00+00:00,1.0
28790,2025-12-14 08:00:00+00:00,
28790,2025-12-14 09:00:00+00:00,
28790,2025-12-14 10:00:00+00:00,
28790,2025-12-14 11:00:00+00:00,
28790,2025-12-14 12:00:00+00:00,
28790,2025-12-14 13:00:00+00:00,
28790,2025-12-14 14:00:00+00:00,
28790,2025-12-14 15:00:00+00:00,
28790,2025-12-14 16:00:00+00:00,
28790,2025-12-14 17:00:00+00:00,
28790,2025-12-14 18:00:00+00:00,
28790,2025-12-14 19:00:00+00:00,
28790,2025-12-14 20:00:00+00:00,
28790,2025-12-14 21:00:00+00:00,
28790,2025-12-14 22:00:00+00:00,
28790,2025-12-14 23:00:00+00:00,
28790,2025-12-15 00:00:00+00:00,
28790,2025-12-15 01:00:00+00:00,
28790,2025-12-15 02:00:00+00:00,
28790,2025-12-15 03:00:00+00:00,
28790,2025-12-15 04:00:00+00:00,
28790,2025-12-15 05:00:00+00:00,
28790,2025-12-15 06:00:00+00:00,
28790,2025-12-15 07:00:00+00:00,1.0
28791,2025-12-14 08:00:00+00:00,
28791,2025-12-14 09:00:00+00:00,
28791,2025-12-14 10:00:00+00:00,
28791,2025-12-14 11:00:00+00:00,
28791,2025-12-14 12:00:00+00:00,
28791,2025-12-14 13:00:00+00:00,
28791,2025-12-14 14:00:00+00:00,
28791,2025-12-14 15:00:00+00:00,
28791,2025-12-14 16:00:00+00:00,
28791,2025-12-14 17:00:00+00:00,
28791,2025-12-14 18:00:00+00:00,
28791,2025-12-14 19:00:00+00:00,
28791,2025-12-14 20:00:00+00:00,
28791,2025-12-14 21:00:00+00:00,
28791,2025-12-14 22:00:00+00:00,
28791,2025-12-14 23:00:00+00:00,
28791,2025-12-15 00:00:00+00:00,
28791,2025-12-15 01:00:00+00:00,
28791,2025-12-15 02:00:00+00:00,
28791,2025-12-15 03:00:00+00:00,
28791,2025-12-15 04:00:00+00:00,
28791,2025-12-15 05:00:00+00:00,
28791,2025-12-15 06:00:00+00:00,
28791,2025-12-15 07:00:00+00:00,2.0
28792,2025-12-14 08:00:00+00:00,
28792,2025-12-14 09:00:00+00:00,
28792,2025-12-14 10:00:00+00:00,
28792,2025-12-14 11:00:00+00:00,
28792,2025-12-14 12:00:00+00:00,
28792,2025-12-14 13:00:00+00:00,
28792,2025-12-14 14:00:00+00:00,
28792,2025-12-14 15:00:00+00:00,
28792,2025-12-14 16:00:00+00:00,
28792,2025-12-14 17:00:00+00:00,
28792,2025-12-14 18:00:00+00:00,
28792,2025-12-14 19:00:00+00:00,
28792,2025-12-14 20:00:00+00:00,
28792,2025-12-14 21:00:00+00:00,
28792,2025-12-14 22:00:00+00:00,
28792,2025-12-14 23:00:00+00:00,
28792,2025-12-15 00:00:00+00:00,
28792,2025-12-15 01:00:00+00:00,
28792,2025-12-15 02:00:00+00:00,
28792,2025-12-15 03:00:00+00:00,
28792,2025-12-15 04:00:00+00:00,
28792,2025-12-15 05:00:00+00:00,
28792,2025-12-15 06:00:00+00:00,
28792,2025-12-15 07:00:00+00:00,4.0
28793,2025-12-14 08:00:00+00:00,
28793,2025-12-14 09:00:00+00:00,
28793,2025-12-14 10:00:00+00:00,
28793,2025-12-14 11:00:00+00:00,
28793,2025-12-14 12:00:00+00:00,
28793,2025-12-14 13:00:00+00:00,
28793,2025-12-14 14:00:00+00:00,
28793,2025-12-14 15:00:00+00:00,
28793,2025-12-14 16:00:00+00:00,
28793,2025-12-14 17:00:00+00:00,
28793,2025-12-14 18:00:00+00:00,
28793,2025-12-14 19:00:00+00:00,
28793,2025-12-14 20:00:00+00:00,
28793,2025-12-14 21:00:00+00:00,
28793,2025-12-14 22:00:00+00:00,
28793,2025-12-14 23:00:00+00:00,
28793,2025-12-15 00:00:00+00:00,
28793,2025-12-15 01:00:00+00:00,
28793,2025-12-15 02:00:00+00:00,
28793,2025-12-15 03:00:00+00:00,
28793,2025-12-15 04:00:00+00:00,
28793,2025-12-15 05:00:00+00:00,
28793,2025-12-15 06:00:00+00:00,
28793,2025-12-15 07:00:00+00:00,9.0
28794,2025-12-14 08:00:00+00:00,
28794,2025-12-14 09:00:00+00:00,
28794,2025-12-14 10:00:00+00:00,
28794,2025-12-14 11:00:00+00:00,
28794,2025-12-14 12:00:00+00:00,
28794,2025-12-14 13:00:00+00:00,
28794,2025-12-14 14:00:00+00:00,
28794,2025-12-14 15:00:00+00:00,
28794,2025-12-14 16:00:00+00:00,
28794,2025-12-14 17:00:00+00:00,
28794,2025-12-14 18:00:00+00:00,
28794,2025-12-14 19:00:00+00:00,
28794,2025-12-14 20:00:00+00:00,
28794,2025-12-14 21:00:00+00:00,
28794,2025-12-14 22:00:00+00:00,
28794,2025-12-14 23:00:00+00:00,
28794,2025-12-15 00:00:00+00:00,
28794,2025-12-15 01:00:00+00:00,
28794,2025-12-15 02:00:00+00:00,
28794,2025-12-15 03:00:00+00:00,
28794,2025-12-15 04:00:00+00:00,
28794,2025-12-15 05:00:00+00:00,
28794,2025-12-15 06:00:00+00:00,
28794,2025-12-15 07:00:00+00:00,1.0
28795,2025-12-14 08:00:00+00:00,
28795,2025-12-14 09:00:00+00:00,
28795,2025-12-14 10:00:00+00:00,
28795,2025-12-14 11:00:00+00:00,
28795,2025-12-14 12:00:00+00:00,
28795,2025-12-14 13:00:00+00:00,
28795,2025-12-14 14:00:00+00:00,
28795,2025-12-14 15:00:00+00:00,
28795,2025-12-14 16:00:00+00:00,
28795,2025-12-14 17:00:00+00:00,
28795,2025-12-14 18:00:00+00:00,
28795,2025-12-14 19:00:00+00:00,
28795,2025-12-14 20:00:00+00:00,
28795,2025-12-14 21:00:00+00:00,
28795,2025-12-14 22:00:00+00:00,
28795,2025-12-14 23:00:00+00:00,
28795,2025-12-15 00:00:00+00:00,
28795,2025-12-15 01:00:00+00:00,
28795,2025-12-15 02:00:00+00:00,
28795,2025-12-15 03:00:00+00:00,
28795,2025-12-15 04:00:00+00:00,
28795,2025-12-15 05:00:00+00:00,
28795,2025-12-15 06:00:00+00:00,
